Arbeiderpartiet;33,6
Senterpartiet;23,0
Fremskrittspartiet;16,2
SV - Sosialistisk Venstreparti;9,1
Rødt;4,9
Kristelig Folkeparti;4,2
Miljøpartiet De Grønne;2,3
Høyre;2,3
